"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestNewSIDSuffix","0","TestNewSIDSuffix","","Sat Mar 07 20:39:12 UTC 2026","passed","Sat Mar 07 20:39:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestNewSIDSuffix","TestNewSIDSuffix"
"Test cases for TestSet","0","TestSet","","Sat Mar 07 20:39:16 UTC 2026","passed","Sat Mar 07 20:39:16 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/internal/TestSet","TestSet"
"Test cases for FuzzFoldl","0","FuzzFoldl","","Sat Mar 07 20:39:27 UTC 2026","passed","Sat Mar 07 20:39:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/FuzzFoldl","FuzzFoldl"
"Test cases for TestEncodingEquality","0","TestEncodingEquality","","Sat Mar 07 20:39:14 UTC 2026","passed","Sat Mar 07 20:39:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestEncodingEquality","TestEncodingEquality"
"Test cases for TestMarshalBool","0","TestMarshalBool","","Sat Mar 07 20:38:52 UTC 2026","passed","Sat Mar 07 20:38:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalBool","TestMarshalBool"
"","3705","should render","Pathfinding","Sat Mar 07 20:40:24 UTC 2026","passed","Sat Mar 07 20:40:27 UTC 2026","","","",""
"","0","passes ruleType through optionalParams with empty object","handleError","Sat Mar 07 20:39:53 UTC 2026","passed","Sat Mar 07 20:39:53 UTC 2026","","","",""
"","158","should display ""Cancel"" button","Enable2FADialog","Sat Mar 07 20:41:58 UTC 2026","passed","Sat Mar 07 20:41:58 UTC 2026","","","",""
"","186","allows a user to upload a single file and displays its name in the dialog","SchemaUploadDialog","Sat Mar 07 20:41:12 UTC 2026","passed","Sat Mar 07 20:41:12 UTC 2026","","","",""
"","11","should render when search string is in the middle of the text","HighlightedText","Sat Mar 07 20:42:29 UTC 2026","passed","Sat Mar 07 20:42:29 UTC 2026","","","",""
"Test cases for TestSIDSuffix_PrependPrefix","0","TestSIDSuffix_PrependPrefix","","Sat Mar 07 20:39:12 UTC 2026","passed","Sat Mar 07 20:39:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestSIDSuffix_PrependPrefix","TestSIDSuffix_PrependPrefix"
"","642","should display all available roles","UpdateUserDialog","Sat Mar 07 20:39:42 UTC 2026","passed","Sat Mar 07 20:39:43 UTC 2026","","","",""
"Test cases for TestResources_ListAuditLogs_OnlyOffset","0","TestResources_ListAuditLogs_OnlyOffset","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_OnlyOffset","TestResources_ListAuditLogs_OnlyOffset"
"Test cases for TestNodeNamePrefix_AppendSuffix","0","TestNodeNamePrefix_AppendSuffix","","Sat Mar 07 20:39:12 UTC 2026","passed","Sat Mar 07 20:39:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestNodeNamePrefix_AppendSuffix","TestNodeNamePrefix_AppendSuffix"
"Test cases for TestManagementResource_OIDCLoginHandler","17","TestManagementResource_OIDCLoginHandler","","Sat Mar 07 20:39:18 UTC 2026","passed","Sat Mar 07 20:39:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_OIDCLoginHandler","TestManagementResource_OIDCLoginHandler"
"Test cases for TestSelectGPOContainerCandidateFilter","0","TestSelectGPOContainerCandidateFilter","","Sat Mar 07 20:39:12 UTC 2026","passed","Sat Mar 07 20:39:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/TestSelectGPOContainerCandidateFilter","TestSelectGPOContainerCandidateFilter"
"","530","switches Rule tab to active/selected when clicked","Selected Details Tabs","Sat Mar 07 20:40:35 UTC 2026","passed","Sat Mar 07 20:40:36 UTC 2026","","Selected Details Tabs - Click Interactions","",""
"Test cases for TestResources_SearchAssetGroupTagHistory","141","TestResources_SearchAssetGroupTagHistory","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_SearchAssetGroupTagHistory","TestResources_SearchAssetGroupTagHistory"
"","5","dismisses the ""no permission"" notification on unmount","useFinishedJobs","Sat Mar 07 20:40:52 UTC 2026","passed","Sat Mar 07 20:40:52 UTC 2026","","","",""
"Test cases for TestFloatValueOrZero","0","TestFloatValueOrZero","","Sat Mar 07 20:38:52 UTC 2026","passed","Sat Mar 07 20:38:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatValueOrZero","TestFloatValueOrZero"
"Test cases for TestInt64FromPtr","0","TestInt64FromPtr","","Sat Mar 07 20:38:52 UTC 2026","passed","Sat Mar 07 20:38:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64FromPtr","TestInt64FromPtr"
"Test cases for TestUrlValidator","1","TestUrlValidator","","Sat Mar 07 20:39:10 UTC 2026","passed","Sat Mar 07 20:39:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/validation/TestUrlValidator","TestUrlValidator"
"","57","initializes with the given state","useObjectState","Sat Mar 07 20:42:30 UTC 2026","passed","Sat Mar 07 20:42:30 UTC 2026","","","",""
"","146","upon selecting just a source node, updates the URL with a searchType of 'node' and primarySearch of the node's objectid","usePathfindingSearch","Sat Mar 07 20:40:59 UTC 2026","passed","Sat Mar 07 20:40:59 UTC 2026","","","",""
"","204","adds node to asset group tag without confirmation","AssetGroupMenuItem","Sat Mar 07 20:40:06 UTC 2026","passed","Sat Mar 07 20:40:07 UTC 2026","","","",""
"Test cases for TestWriteAndValidateJSON_NormalizationError","3","TestWriteAndValidateJSON_NormalizationError","","Sat Mar 07 20:38:59 UTC 2026","passed","Sat Mar 07 20:38:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/TestWriteAndValidateJSON_NormalizationError","TestWriteAndValidateJSON_NormalizationError"
"","1177","handles delete by source kind","DatabaseManagement","Sat Mar 07 20:43:45 UTC 2026","passed","Sat Mar 07 20:43:46 UTC 2026","","","",""
"","235","toggles parent from all to none","SourceKindsCheckboxes","Sat Mar 07 20:40:47 UTC 2026","passed","Sat Mar 07 20:40:47 UTC 2026","","","",""
"","2","should recognize azure properties","validating a node property against the shared generated schema","Sat Mar 07 20:40:08 UTC 2026","passed","Sat Mar 07 20:40:08 UTC 2026","","","",""
"Test cases for TestRequireAllEnvironmentAccessMiddleware","0","TestRequireAllEnvironmentAccessMiddleware","","Sat Mar 07 20:38:37 UTC 2026","passed","Sat Mar 07 20:38:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestRequireAllEnvironmentAccessMiddleware","TestRequireAllEnvironmentAccessMiddleware"
"","51","should style the powered-by to display when nav is expanded","MainNav","Sat Mar 07 20:39:50 UTC 2026","passed","Sat Mar 07 20:39:50 UTC 2026","","","",""
"","57","Gets focus on keyboard shortcut","SearchBar","Sat Mar 07 20:42:58 UTC 2026","passed","Sat Mar 07 20:42:58 UTC 2026","","","",""
"Test cases for TestManagementResource_ListPermissions_DBError","0","TestManagementResource_ListPermissions_DBError","","Sat Mar 07 20:38:50 UTC 2026","passed","Sat Mar 07 20:38:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_DBError","TestManagementResource_ListPermissions_DBError"
"Test cases for TestResources_CreateAssetGroup","0","TestResources_CreateAssetGroup","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateAssetGroup","TestResources_CreateAssetGroup"
"","0","handles specific Active Directory properties differently than Azure derived properties","Formatting number properties","Sat Mar 07 20:40:08 UTC 2026","passed","Sat Mar 07 20:40:08 UTC 2026","","","",""
"","3","Default label and sizing are used when graph of origin does not specify","copySigmaNodesToGraphlibGraph","Sat Mar 07 20:44:02 UTC 2026","passed","Sat Mar 07 20:44:02 UTC 2026","","","",""
"","1815","should clear out the sso provider id from submission data when the authentication method is changed","UpdateUserDialog","Sat Mar 07 20:39:44 UTC 2026","passed","Sat Mar 07 20:39:46 UTC 2026","","","",""
"","0","returns undefined if graphData is null or not a GraphResponse","getExploreTableData","Sat Mar 07 20:41:20 UTC 2026","passed","Sat Mar 07 20:41:20 UTC 2026","","","",""
"","219","Selecting an edge with a Computer target node that does not have haslaps enabled shows correct Windows Abuse text","EdgeInfoContent","Sat Mar 07 20:39:28 UTC 2026","passed","Sat Mar 07 20:39:28 UTC 2026","","","",""
"","219","renders correctly with requiresCurrentPassword true","PasswordDialog","Sat Mar 07 20:39:35 UTC 2026","passed","Sat Mar 07 20:39:36 UTC 2026","","","",""
"","13","disables the upload button and does not populate a table if the user lacks the permission","File Upload","Sat Mar 07 20:40:56 UTC 2026","passed","Sat Mar 07 20:40:56 UTC 2026","","","",""
"Test cases for TestManagementResource_SAMLLoginRedirect","20","TestManagementResource_SAMLLoginRedirect","","Sat Mar 07 20:39:18 UTC 2026","passed","Sat Mar 07 20:39:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLLoginRedirect","TestManagementResource_SAMLLoginRedirect"
"Test cases for TestResources_GetShortestPath","17","TestResources_GetShortestPath","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetShortestPath","TestResources_GetShortestPath"
"Test cases for TestResources_ListExtensions","86","TestResources_ListExtensions","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListExtensions","TestResources_ListExtensions"
"Test cases for TestResources_DownloadCollectorChecksumByVersion","0","TestResources_DownloadCollectorChecksumByVersion","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DownloadCollectorChecksumByVersion","TestResources_DownloadCollectorChecksumByVersion"
"","22","If for some reason the node size is not defined return 1 as a default","getNodeRadius","Sat Mar 07 20:44:03 UTC 2026","passed","Sat Mar 07 20:44:03 UTC 2026","","","",""
"","5","renders the LabelSelector when available and on a Label page","TagSelector","Sat Mar 07 20:41:36 UTC 2026","passed","Sat Mar 07 20:41:36 UTC 2026","","","",""
"","222","Verify Vault Reader count is the count returned by All Readers","EntityInfoDataTableGraphed","Sat Mar 07 20:40:20 UTC 2026","passed","Sat Mar 07 20:40:20 UTC 2026","","Node count for Vault Readers nested table","",""
"Test cases for TestResources_ToggleFlag","0","TestResources_ToggleFlag","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ToggleFlag","TestResources_ToggleFlag"
"","280","fires click handlers","ConfirmDeleteQueryDialog","Sat Mar 07 20:43:01 UTC 2026","passed","Sat Mar 07 20:43:02 UTC 2026","","","",""
"","0","should return true when tag partially matches term","OperationsFilterPlugin","Sat Mar 07 20:43:11 UTC 2026","passed","Sat Mar 07 20:43:11 UTC 2026","","","",""
"Test cases for TestCache_GuardedSet","0","TestCache_GuardedSet","","Sat Mar 07 20:39:14 UTC 2026","passed","Sat Mar 07 20:39:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestCache_GuardedSet","TestCache_GuardedSet"
"Test cases for TestArgon2Digest_Validate","4","TestArgon2Digest_Validate","","Sat Mar 07 20:39:15 UTC 2026","passed","Sat Mar 07 20:39:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/crypto/TestArgon2Digest_Validate","TestArgon2Digest_Validate"
"","3","returns {enabled: false} if there is not a match on the switch statement","useExploreGraph","Sat Mar 07 20:40:49 UTC 2026","passed","Sat Mar 07 20:40:49 UTC 2026","","exploreGraphQueryFactory","",""
"","2","rounds down fractional minutes/days","getSimpleDuration","Sat Mar 07 20:42:31 UTC 2026","passed","Sat Mar 07 20:42:31 UTC 2026","","","",""
"Test cases for TestNormalizeEinNodeProperties","0","TestNormalizeEinNodeProperties","","Sat Mar 07 20:38:57 UTC 2026","passed","Sat Mar 07 20:38:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestNormalizeEinNodeProperties","TestNormalizeEinNodeProperties"
"","744","displays correct content based on platform filter Azure","CommonSearches","Sat Mar 07 20:40:05 UTC 2026","passed","Sat Mar 07 20:40:06 UTC 2026","","","",""
"Test cases for TestAddWhereClauseToNeo4jQuery_NoWhereClause","0","TestAddWhereClauseToNeo4jQuery_NoWhereClause","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddWhereClauseToNeo4jQuery_NoWhereClause","TestAddWhereClauseToNeo4jQuery_NoWhereClause"
"Test cases for TestResources_ListTrustedCAs","1","TestResources_ListTrustedCAs","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListTrustedCAs","TestResources_ListTrustedCAs"
"Test cases for Test_NewSpec","0","Test_NewSpec","","Sat Mar 07 20:39:16 UTC 2026","passed","Sat Mar 07 20:39:16 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_NewSpec","Test_NewSpec"
"Test cases for TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","0","TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin"
"","181","should display ""Create Token"" button","UserTokenManagementDialog","Sat Mar 07 20:41:54 UTC 2026","passed","Sat Mar 07 20:41:54 UTC 2026","","","",""
"","124","renders enabled Zone tab and disabled Rule and Object tabs","Selected Details Tabs","Sat Mar 07 20:40:36 UTC 2026","passed","Sat Mar 07 20:40:36 UTC 2026","","Selected Details Tabs - Params present","",""
"Test cases for TestResources_CancelAnalysisRequest","170","TestResources_CancelAnalysisRequest","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CancelAnalysisRequest","TestResources_CancelAnalysisRequest"
"Test cases for TestCache_Reset","0","TestCache_Reset","","Sat Mar 07 20:39:14 UTC 2026","passed","Sat Mar 07 20:39:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestCache_Reset","TestCache_Reset"
"","0","does not abbreviate numbers < 1000","numberFormatting","Sat Mar 07 20:42:57 UTC 2026","passed","Sat Mar 07 20:42:57 UTC 2026","","","",""
"","138","upon selecting a source node, updates the URL with a searchType of 'node' and primarySearch of the node's objectid","useNodeSearch","Sat Mar 07 20:42:20 UTC 2026","passed","Sat Mar 07 20:42:20 UTC 2026","","","",""
"Test cases for TestConvertComputerToNode","0","TestConvertComputerToNode","","Sat Mar 07 20:39:15 UTC 2026","passed","Sat Mar 07 20:39:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertComputerToNode","TestConvertComputerToNode"
"","0","Fetching the data timed out","Getting the text for the disabled item display for a search when there are no results","Sat Mar 07 20:41:23 UTC 2026","passed","Sat Mar 07 20:41:23 UTC 2026","","Error states","",""
"TestManifest_AddMigration tests that migrations are added to the correct locationwithin the migration map and in the correct order.","2","TestManifest_AddMigration","","Sat Mar 07 20:38:52 UTC 2026","passed","Sat Mar 07 20:38:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestManifest_AddMigration","TestManifest_AddMigration"
"Test cases for TestTimeValueOrZero","0","TestTimeValueOrZero","","Sat Mar 07 20:38:52 UTC 2026","passed","Sat Mar 07 20:38:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeValueOrZero","TestTimeValueOrZero"
"Test cases for TestManagementResource_SAMLCallbackHandler","21","TestManagementResource_SAMLCallbackHandler","","Sat Mar 07 20:39:18 UTC 2026","passed","Sat Mar 07 20:39:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLCallbackHandler","TestManagementResource_SAMLCallbackHandler"
"","20","tag members refetches on environment change","the useAssetGroupTags utilities","Sat Mar 07 20:39:59 UTC 2026","passed","Sat Mar 07 20:39:59 UTC 2026","","","",""
"","40","should display a message","CypherSearchMessage","Sat Mar 07 20:43:14 UTC 2026","passed","Sat Mar 07 20:43:14 UTC 2026","","","",""
"Test cases for TestTimeFromPtr","0","TestTimeFromPtr","","Sat Mar 07 20:38:52 UTC 2026","passed","Sat Mar 07 20:38:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeFromPtr","TestTimeFromPtr"
"Test cases for Test_signedRequestDate","0","Test_signedRequestDate","","Sat Mar 07 20:38:37 UTC 2026","passed","Sat Mar 07 20:38:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/Test_signedRequestDate","Test_signedRequestDate"
"","188","toggles a child on","SourceKindsCheckboxes","Sat Mar 07 20:40:48 UTC 2026","passed","Sat Mar 07 20:40:48 UTC 2026","","","",""
"","0","returns true if arrays are equal","areArraysSimilar","Sat Mar 07 20:42:50 UTC 2026","passed","Sat Mar 07 20:42:50 UTC 2026","","","",""
"","171","handles close event","ImportQueryDialog","Sat Mar 07 20:43:00 UTC 2026","passed","Sat Mar 07 20:43:00 UTC 2026","","","",""
"","9","renders nothing if flag is disabled and disabled prop is not provided","FeatureFlag","Sat Mar 07 20:42:10 UTC 2026","passed","Sat Mar 07 20:42:10 UTC 2026","","","",""
"","345","displays an autofocused text input","SearchCurrentNodes","Sat Mar 07 20:41:30 UTC 2026","passed","Sat Mar 07 20:41:30 UTC 2026","","","",""
"","164","calls openOIDCProviderDialog when OIDC Provider menu item is clicked","CreateMenu","Sat Mar 07 20:40:11 UTC 2026","passed","Sat Mar 07 20:40:11 UTC 2026","","oidc_support feature flag enabled","",""
"","333","renders an empty message for the entity panel before a node is selected","GroupManagement","Sat Mar 07 20:43:53 UTC 2026","passed","Sat Mar 07 20:43:53 UTC 2026","","","",""
"","8","should render a Field when the provided value is 0","Field","Sat Mar 07 20:42:42 UTC 2026","passed","Sat Mar 07 20:42:42 UTC 2026","","","",""
"Test cases for TestCreateUser_ResetPassword","713","TestCreateUser_ResetPassword","","Sat Mar 07 20:38:55 UTC 2026","passed","Sat Mar 07 20:38:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestCreateUser_ResetPassword","TestCreateUser_ResetPassword"
"","546","Displays the selectors list if passed in through additional sections","EntityInfoDataTableList","Sat Mar 07 20:41:25 UTC 2026","passed","Sat Mar 07 20:41:26 UTC 2026","","","",""
"Test cases for TestLoginSuccess","0","TestLoginSuccess","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginSuccess","TestLoginSuccess"
"Test cases for TestResources_GetAZEntityInformation","132","TestResources_GetAZEntityInformation","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAZEntityInformation","TestResources_GetAZEntityInformation"
"","0","returns undefined if graphData is undefined or not a GraphResponse","getExploreTableData","Sat Mar 07 20:41:20 UTC 2026","passed","Sat Mar 07 20:41:20 UTC 2026","","","",""
"","62","returns the full environment for the environmentid passed","useAvailableEnvironments","Sat Mar 07 20:42:19 UTC 2026","passed","Sat Mar 07 20:42:19 UTC 2026","","useSelectedEnvironment","",""
"","84","should call onCancel when cancel button clicked","LoginViaSSOForm","Sat Mar 07 20:41:47 UTC 2026","passed","Sat Mar 07 20:41:47 UTC 2026","","","",""
"","1","will return a list of values","Formatting list properties","Sat Mar 07 20:40:08 UTC 2026","passed","Sat Mar 07 20:40:08 UTC 2026","","","",""
"Test cases for TestResources_GetCollectorManifest","0","TestResources_GetCollectorManifest","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetCollectorManifest","TestResources_GetCollectorManifest"
"","239","sets a primarySearch=id and searchType=pathfinding when secondarySearch is truethy","ContextMenu","Sat Mar 07 20:39:58 UTC 2026","passed","Sat Mar 07 20:39:58 UTC 2026","","","",""
"","3","formats the date string","toFormatted","Sat Mar 07 20:42:31 UTC 2026","passed","Sat Mar 07 20:42:31 UTC 2026","","","",""
"Test cases for TestManagementResource_ServeMetadata","24","TestManagementResource_ServeMetadata","","Sat Mar 07 20:39:18 UTC 2026","passed","Sat Mar 07 20:39:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ServeMetadata","TestManagementResource_ServeMetadata"
"","13","adds new key to state","useObjectState","Sat Mar 07 20:42:30 UTC 2026","passed","Sat Mar 07 20:42:30 UTC 2026","","","",""
"","75","renders when all data is available and rule is not default","Delete Selector Button rendering","Sat Mar 07 20:42:52 UTC 2026","passed","Sat Mar 07 20:42:52 UTC 2026","","","",""
"Test cases for TestResources_ListSavedQueries","39","TestResources_ListSavedQueries","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListSavedQueries","TestResources_ListSavedQueries"
"","59","clicking cancel on the form takes the user back to the page the user was on previously","Tag Form","Sat Mar 07 20:39:14 UTC 2026","passed","Sat Mar 07 20:39:14 UTC 2026","","","",""
"","0","uppercases boolean values","Formatting boolean properties","Sat Mar 07 20:40:08 UTC 2026","passed","Sat Mar 07 20:40:08 UTC 2026","","","",""
"","451","should not call onSave when Save button is clicked and form input is invalid","UpdateUserDialog","Sat Mar 07 20:39:41 UTC 2026","passed","Sat Mar 07 20:39:41 UTC 2026","","","",""
"","0","filters by multiple platforms","filterAndSearchEnvironments","Sat Mar 07 20:39:25 UTC 2026","passed","Sat Mar 07 20:39:25 UTC 2026","","platform filters","",""
"Test cases for TestResources_ListADEntityControllers","0","TestResources_ListADEntityControllers","","Sat Mar 07 20:38:45 UTC 2026","passed","Sat Mar 07 20:38:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityControllers","TestResources_ListADEntityControllers"
"Test cases for TestDomainSelectors_GetValidFilterPredicatesAsStrings","1","TestDomainSelectors_GetValidFilterPredicatesAsStrings","","Sat Mar 07 20:38:54 UTC 2026","passed","Sat Mar 07 20:38:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetValidFilterPredicatesAsStrings","TestDomainSelectors_GetValidFilterPredicatesAsStrings"
"","293","renders total rules and accordion sections","RulesAccordion","Sat Mar 07 20:41:25 UTC 2026","passed","Sat Mar 07 20:41:25 UTC 2026","","","",""
"","62","Searching for custom node type with databaseId returns node properties","useFetchEntityInfo","Sat Mar 07 20:41:03 UTC 2026","passed","Sat Mar 07 20:41:03 UTC 2026","","","",""
"","713","renders a link to the explore page when member is clicked","GroupManagement","Sat Mar 07 20:43:54 UTC 2026","passed","Sat Mar 07 20:43:54 UTC 2026","","","",""
"","3434","Typing in the search bar filters the results","ExploreTable","Sat Mar 07 20:39:11 UTC 2026","passed","Sat Mar 07 20:39:15 UTC 2026","","","",""
"","249","handles creating a new zone","Tag Form","Sat Mar 07 20:39:15 UTC 2026","passed","Sat Mar 07 20:39:15 UTC 2026","","","",""
